0,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
BRCA.TCGA.A8.A092.01,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train
BRCA.TCGA.GM.A2DF.01,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train
BRCA.TCGA.A7.A6VY.01,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train
BRCA.TCGA.AQ.A54O.01,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train
BRCA.TCGA.B6.A402.01,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train
BRCA.TCGA.A8.A09M.01,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train
BRCA.TCGA.A7.A4SA.01,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train
BRCA.TCGA.A8.A08X.01,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train
BRCA.TCGA.A2.A3XS.01,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train
BRCA.TCGA.A8.A09D.01,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train
BRCA.TCGA.LL.A740.01,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train
BRCA.TCGA.GM.A3XL.01,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train
BRCA.TCGA.OL.A66I.01,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train
BRCA.TCGA.A2.A3XW.01,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train
BRCA.TCGA.A2.A3XX.01,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train
BRCA.TCGA.GM.A3XG.01,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train
BRCA.TCGA.A2.A0CR.01,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train
BRCA.TCGA.GM.A2DN.01,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train
BRCA.TCGA.A7.A5ZV.01,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train
BRCA.TCGA.GM.A3XN.01,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation
BRCA.TCGA.GM.A2DM.01,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation
BRCA.TCGA.A2.A4S2.01,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation
BRCA.TCGA.A7.A5ZX.01,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation
BRCA.TCGA.S3.AA15.01,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation
BRCA.TCGA.A7.A4SE.01,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation
BRCA.TCGA.E9.A6HE.01,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation
BRCA.TCGA.LL.A73Z.01,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train
BRCA.TCGA.EW.A1P3.01,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train
BRCA.TCGA.Z7.A8R5.01,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train
BRCA.TCGA.EW.A2FR.01,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train
BRCA.TCGA.EW.A1OY.01,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train
BRCA.TCGA.D8.A3Z6.01,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation
CESC.TCGA.HG.A2PA.01,validation,train,train,train,train,train,train,train,validation,train,train,train,train,train,validation,train,train,train,validation,train,train,train,train,train,validation,validation,train,train,train,train,train,train,train,validation,train,train,validation,train,train,train,train,train,train,train,validation,validation,train,train,train,train,train,train,train,validation,train,train,validation,train,train,train,train,train,validation,train,train,train,train,train,validation,train,train,validation,train,train,train,train,train,validation,train,train,train,train,train,validation,train,train,validation,train,train,train,train,train,validation,train,train,train,train,train,validation,train
CESC.TCGA.IR.A3LB.01,validation,train,train,train,train,train,train,train,validation,train,train,validation,train,train,train,validation,train,train,train,train,train,train,train,validation,train,train,train,train,validation,train,train,validation,train,train,train,validation,train,train,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,train,train,validation,train,train,validation,train,train,train,train,train,train,validation,train,train,train,validation,train,train,train,validation,train,train,train,train,validation,train,train,validation,train,train,train,train,train,train,train,validation,train
CESC.TCGA.IR.A3LK.01,train,validation,train,train,train,train,train,train,train,validation,train,validation,train,train,train,validation,train,train,train,train,train,validation,train,train,train,train,validation,train,train,train,validation,train,train,train,train,train,train,validation,train,train,train,train,train,validation,train,train,train,validation,train,train,validation,train,train,train,train,validation,train,train,train,train,train,train,train,validation,train,train,validation,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,train,train,validation,train,train,train,train,validation,train,train,train,validation,train,train,train
CESC.TCGA.VS.A8QC.01,train,validation,train,train,train,train,validation,train,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,train,validation,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,validation,train,train,train,train,train,train,validation,train,train,validation,train,train,train,validation,train,train,train,train,validation,train,train,train,train,train,validation,train,train,train,train,train,train,validation,train,train,train,train,train,validation,train,train,validation,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train
CESC.TCGA.IR.A3LI.01,train,train,validation,train,train,validation,train,train,train,train,train,train,train,validation,train,train,validation,train,train,train,train,validation,train,train,train,train,train,train,train,validation,train,train,train,validation,train,validation,train,train,train,train,train,train,validation,train,train,train,train,train,validation,train,train,train,validation,train,train,train,train,train,train,validation,train,validation,train,train,train,validation,train,train,train,train,train,validation,train,train,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,train,validation,train,train,train,validation,train,validation,train,train,train,train
CESC.TCGA.EX.A449.01,train,train,validation,train,train,train,validation,train,train,train,validation,train,train,train,train,train,train,validation,train,train,validation,train,train,train,train,train,validation,train,train,train,train,train,validation,train,train,train,train,train,validation,train,train,train,train,validation,train,validation,train,train,train,train,train,train,train,validation,train,train,train,train,validation,train,validation,train,train,train,train,train,train,validation,train,train,train,train,validation,train,train,train,validation,train,train,train,train,train,train,train,validation,train,train,train,validation,train,train,train,train,validation,train,train,validation,train,train,train
CESC.TCGA.RA.A741.01,train,train,train,validation,train,train,train,validation,train,train,validation,train,train,train,train,train,train,train,validation,train,validation,train,train,train,train,train,train,validation,train,train,train,train,train,train,validation,train,train,train,validation,train,validation,train,train,train,train,train,validation,train,train,train,train,train,train,train,validation,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,validation,train,train,train,train,validation,train,train,train,validation,train,train,train,train,train,train,validation,train,train,train,train,train,validation,train,train,validation,train,train
CESC.TCGA.VS.A8EC.01,train,train,train,validation,train,train,train,validation,train,train,train,train,train,validation,train,train,validation,train,train,train,train,train,validation,train,train,validation,train,train,train,train,validation,train,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,validation,train,train,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,train,train,validation,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,train,validation,train,train,train,train,train,train,train,validation
CESC.TCGA.VS.A9UM.01,train,train,train,train,validation,validation,train,train,train,train,train,train,validation,train,train,train,train,train,train,validation,train,train,validation,train,train,train,train,train,validation,train,train,validation,train,train,train,train,train,train,train,validation,validation,train,train,train,train,train,train,train,train,validation,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,validation,train,train,train,train,train,train,train,validation,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,validation,train,train,train,train,train,validation,train,train
HNSC.TCGA.CR.7383.01,validation,train,train,train,train,train,train,train,train,validation,train,train,train,train,validation,train,train,validation,train,train,validation,train,train,train,train,validation,train,train,train,train,train,train,validation,train,train,train,validation,train,train,train,train,validation,train,train,train,train,train,train,validation,train,validation,train,train,train,train,train,train,train,validation,train,train,train,train,train,validation,train,validation,train,train,train,train,train,validation,train,train,train,train,train,validation,train,train,validation,train,train,train,train,train,validation,train,train,validation,train,train,train,train,train,train,train,train,validation
